"org","site","pct_this","pct_that","pct_other","num_things","narrative","program","programType"
"Mars","Gibraltar",0.37,0.16,0.76,268,"""Certainly you know it. Then why didn't you say so at first? Now, I'll ask you another question,""—taking possession of Mr. Wopsle, as if he had a right to him,—""do you know that none of these witnesses have yet been cross-examined?""","Mendelssohn","Composers"
"Mars","Monaco",0.33,0.14,0.85,304,"""Saturday night,"" said I, when we sat at our supper of bread and cheese and beer. ""Five more days, and then the day before the day! They'll soon go.""","Debussy","Composers"
"Earth","Nauru",0.43,0.57,0.94,241,"O that he had never come! That he had left me at the forge,—far from contented, yet, by comparison happy!","Stratego","Games"
"Neptune","Christmas Island",0.87,0.96,0.46,211,"""With some money down,"" I replied, for an uneasy remembrance shot across me of that symmetrical bundle of papers at home—""with some money down, and perhaps some anticipation of my expectations.""","Mendelssohn","Composers"
"Venus","Iraq",0.93,0.02,0.85,240,"""So you did. And so he is. He was very communicative last night, and told me more of his life. You remember his breaking off here about some woman that he had had great trouble with.—Did I hurt you?""","Schubert","Composers"
"Neptune","Syria, Syrian Arab Republic",0.86,0.46,0.75,280,"""I wonder who's put into prison-ships, and why they're put there?"" said I, in a general way, and with quiet desperation.","Handel","Composers"
"Jupiter","Bolivia",0.15,0.64,0.13,245,"""Then, I have talked with Wemmick,"" said I, ""and have come to tell you what caution he gave me and what advice.""","CLUE","Games"
"Neptune","Lithuania",0.91,0.48,0.7,239,"""Have you heard, Joe,"" I asked him that evening, upon further consideration, as he smoked his pipe at the window, ""who my patron was?""","Battleship","Games"
"Saturn","Eritrea",0.14,0.31,0.3,315,"""Thankee!"" said Wemmick, rubbing his hands. ""She's such a manager of fowls, you have no idea. You shall have some eggs, and judge for yourself. I say, Mr. Pip!"" calling me back, and speaking low. ""This is altogether a Walworth sentiment, please.""","Chopin","Composers"
"Earth","Palestinian territories",0.1,0.12,0.02,295,"""Not wishful to intrude I have departured fur you are well again dear Pip and will do better without JO.","Chess","Games"
"Earth","Suriname",0.84,0.32,0.68,267,"I saw Miss Havisham put her hand to her heart and hold it there, as she sat looking by turns at Estella and at me.","Monopoly","Games"
"Pluto","Burundi",0.86,0.69,0.82,243,"Here Joe's hat tumbled off the mantel-piece, and he started out of his chair and picked it up, and fitted it to the same exact spot. As if it were an absolute point of good breeding that it should tumble off again soon.","Haydn","Composers"
"Pluto","Great Britain",0.89,0.86,0.71,216,"We Britons had at that time particularly settled that it was treasonable to doubt our having and our being the best of everything: otherwise, while I was scared by the immensity of London, I think I might have had some faint doubts whether it was not rather ugly, crooked, narrow, and dirty.","Dominion","Games"
"Neptune","Canada",0.4,0.94,0.88,130,"I took her hand in mine, and we went out of the ruined place; and, as the morning mists had risen long ago when I first left the forge, so the evening mists were rising now, and in all the broad expanse of tranquil light they showed to me, I saw no shadow of another parting from her.","Chess","Games"
"Venus","Panama",0.21,0.04,0.23,277,"""Joe,"" said I, taking hold of his rolled-up shirt sleeve, and twisting it between my finger and thumb, ""you remember all that about Miss Havisham's?""","Dominion","Games"
"Mars","Guam",0.05,0.07,0.27,350,"She gave me a triumphant glance in passing me, as if she rejoiced that my hands were so coarse and my boots were so thick, and she opened the gate, and stood holding it. I was passing out without looking at her, when she touched me with a taunting hand.","Liszt","Composers"
"Earth","East Timor (Timor-Leste)",0.8,0.5,0.14,289,"""Very well, then,"" said I, to whom this was a new and not unwelcome light, ""I have never left off adoring her. And she has come back, a most beautiful and most elegant creature. And I saw her yesterday. And if I adored her before, I now doubly adore her.""","Puerto Rico","Games"
"Mars","Macedonia, Rep. of",0.06,0.67,0.9,268,"""But, Estella, do hear me speak. It makes me wretched that you should encourage a man so generally despised as Drummle. You know he is despised.""","Settlers of Catan","Games"
"Venus","Swaziland",0.21,0.41,0.98,299,"""Whether I should have noticed him at first but for your being there,"" said Mr. Wopsle, going on in the same lost way, ""I can't be positive; yet I think I should.""","JS Bach","Composers"
"Jupiter","Ivory Coast",0.09,0.15,0.67,158,"The last word was flung at the boy, who had not the least notion what it meant. But I saw him collapse as his master rubbed me out with his hands, and my first decided experience of the stupendous power of money was, that it had morally laid upon his back Trabb's boy.","Wagner","Composers"
"Earth","Ecuador",0.07,0.49,0.14,237,"""O yes, I constantly expect to see him,"" returned Herbert, ""because I never hear him, without expecting him to come tumbling through the ceiling. But I don't know how long the rafters may hold.""","Tchaikovsky","Composers"
"Venus","Malaysia",0.22,0.22,0.92,277,"""At,"" repeated Mr. Jaggers, still looking at the ceiling, ""the—rate—of?"" And then looked all round the room, and paused with his pocket-handkerchief in his hand, half-way to his nose.","Mendelssohn","Composers"
"Venus","Lebanon",0.06,0.52,0.08,275,"""I have been thinking, Joe, that when I go down town on Monday, and order my new clothes, I shall tell the tailor that I'll come and put them on there, or that I'll have them sent to Mr. Pumblechook's. It would be very disagreeable to be stared at by all the people here.""","Trivial Pursuit","Games"
"Jupiter","Uruguay",0.33,0.19,0.18,231,"Biddy was waiting for me at the kitchen door, with a mug of new milk and a crust of bread. ""Biddy,"" said I, when I gave her my hand at parting, ""I am not angry, but I am hurt.""","Puerto Rico","Games"
"Mars","Falkland Islands",0.57,0.62,0.42,163,"""You was a saying,"" he observed, when we had confronted one another in silence, ""that surely I must understand. What, surely must I understand?""","Puerto Rico","Games"
"Mars","Kosovo",0.58,0.55,0.44,254,"""Then the time comes,"" said Herbert, ""when you see your opening. And you go in, and you swoop upon it and you make your capital, and then there you are! When you have once made your capital, you have nothing to do but employ it.""","Tchaikovsky","Composers"
"Neptune","Dominica",0.97,0.53,0.62,275,"""N-no, my dear boy,"" said Herbert, after taking time to examine me. ""You are rather excited, but you are quite yourself.""","Apples to Apples","Games"
"Uranus","Bangladesh",0.59,0.15,0.71,208,"""And what's the best of all,"" he said, ""you've been more comfortable alonger me, since I was under a dark cloud, than when the sun shone. That's best of all.""","Puerto Rico","Games"
"Neptune","Taiwan (Republic of China)",0.09,0.98,0.52,281,"""It's all right, dear boy!"" said Provis coming forward, with his little clasped black book, and then addressing himself to Herbert. ""Take it in your right hand. Lord strike you dead on the spot, if ever you split in any way sumever! Kiss it!""","Trivial Pursuit","Games"
"Neptune","Armenia",0.51,0.46,0.27,312,"I stopped for a moment to consider whether there really was this mixture in my character. On the whole, I by no means recognized the analysis, but thought it not worth disputing.","Ticket to Ride","Games"
"Neptune","Croatia",0.07,0.57,0.23,265,"The company murmured their compliments. Uncle Pumblechook, sensible of having deserved well of his fellow-creatures, said,—quite vivaciously, all things considered,—""Well, Mrs. Joe, we'll do our best endeavors; let us have a cut at this same pie.""","Puerto Rico","Games"
"Venus","Oman",0.67,0.06,0.4,276,"""All right, John, all right!"" returned the cheerful old man, so busy and so pleased, that it really was quite charming.","Brahms","Composers"
"Mars","Tuvalu",0.92,0.9,0.63,306,"""But to be proud and hard to me!"" Miss Havisham quite shrieked, as she stretched out her arms. ""Estella, Estella, Estella, to be proud and hard to me!""","Apples to Apples","Games"
"Saturn","French Polynesia",0.92,0.89,0.14,367,"""And don't blame me,"" growled the convict I had recognized. ""I don't want to go. I am quite ready to stay behind. As fur as I am concerned any one's welcome to my place.""","Battleship","Games"
"Earth","Kiribati",0.12,0.42,0.41,351,"Dinner done and we sitting with our feet upon the fender, I said to Herbert, ""My dear Herbert, I have something very particular to tell you.""","Risk","Games"
"Saturn","Namibia",0.96,0.03,0.09,332,"Involuntarily I looked round me, as I was accustomed to look round me when I went home; for these mysterious words gave me a chill.","Dvorak","Composers"
"Mars","Pakistan",0.48,0.35,0.79,305,"""Pocket-handkerchiefs out, all!"" cried Mr. Trabb at this point, in a depressed business-like voice. ""Pocket-handkerchiefs out! We are ready!""","Mendelssohn","Composers"
"Uranus","Norway",0.92,0.82,0.42,314,"""What do you think that is?"" she asked me, again pointing with her stick; ""that, where those cobwebs are?""","Yahtzee","Games"
"Jupiter","Mauritius",0.6,0.59,0.25,214,"I thought of her having said, ""Matthew will come and see me at last when I am laid dead upon that table;"" and I asked Herbert whether his father was so inveterate against her?","Risk","Games"
"Saturn","Saudi Arabia",0.69,0.82,0.34,266,"Joe recited this couplet with such manifest pride and careful perspicuity, that I asked him if he had made it himself.","Stratego","Games"
"Jupiter","Mozambique",0.58,1,0.21,285,"""Why, what do you make out that they done with their buttons then, Jack?"" asked the landlord, vacillating weakly.","Liszt","Composers"
"Pluto","Northern Mariana Islands",0.14,0.59,0.3,183,"""Don't be afraid of my being a blessing to him,"" said Estella; ""I shall not be that. Come! Here is my hand. Do we part on this, you visionary boy—or man?""","Yahtzee","Games"
"Earth","Mongolia",0.63,0.95,0.02,224,"""There ain't no need to go into it,"" he said, looking round once more. ""The time wi' Compeyson was a'most as hard a time as ever I had; that said, all's said. Did I tell you as I was tried, alone, for misdemeanor, while with Compeyson?""","Trivial Pursuit","Games"
"Pluto","Morocco",0.9,0.74,0.48,270,"Biddy dropped her work, and looked at me. Joe held his knees and looked at me. I looked at both of them. After a pause, they both heartily congratulated me; but there was a certain touch of sadness in their congratulations that I rather resented.","Stratego","Games"
"Uranus","Anguilla",0.36,0.28,0.33,164,"Of course I felt my good faith involved in the observance of his request. The punch being very nice, we sat there drinking it and talking, until it was almost nine o'clock. ""Getting near gun-fire,"" said Wemmick then, as he laid down his pipe; ""it's the Aged's treat.""","Schubert","Composers"
"Jupiter","Democratic Republic of the Congo (Kinshasa)",0.33,0.77,0.04,300,"""If you knowed, dear boy,"" he said to me, ""what it is to sit here alonger my dear boy and have my smoke, arter having been day by day betwixt four walls, you'd envy me. But you don't know what it is.""","Dominion","Games"
"Pluto","Antarctica",0.17,0.16,0.47,263,"""Speak the truth, you ingrate!"" cried Miss Havisham, passionately striking her stick upon the floor; ""you are tired of me.""","Debussy","Composers"
"Saturn","Puerto Rico",0.57,0.03,0.57,225,"Quite overpowered by the magnificence of these transactions, I asked him where the ships he insured mostly traded to at present?","UNO","Games"
"Uranus","Moldova, Republic of",0.46,0.72,0.18,265,"He was very much pleased by my asking if I might sleep in my own little room, and I was pleased too; for I felt that I had done rather a great thing in making the request. When the shadows of evening were closing in, I took an opportunity of getting into the garden with Biddy for a little talk.","Ticket to Ride","Games"
"Jupiter","Haiti",0.81,0.74,0.52,278,"""My good Handel, is it not obvious that with Newgate in the next street, there must be far greater hazard in your breaking your mind to him and making him reckless, here, than elsewhere. If a pretext to get him away could be made out of that other convict, or out of anything else in his life, now.""","Stravinsky","Composers"
"Venus","Kuwait",0.55,0.04,0.98,185,"By this time, my sister was quite desperate, so she pounced on Joe, and, taking him by the two whiskers, knocked his head for a little while against the wall behind him, while I sat in the corner, looking guiltily on.","Debussy","Composers"
"Neptune","Switzerland",0.17,1,0.14,194,"It was a weak complaint to have made, and I had not meant to make it. I told her so, as she sat brooding after this outburst.","Liszt","Composers"
"Mars","Guadeloupe",0.86,0.77,0.98,220,"""—Had made some little stir in a certain part of the world where a good many people go, not always in gratification of their own inclinations, and not quite irrespective of the government expense—""","Wagner","Composers"
"Saturn","Gambia",0.96,0.06,0.4,301,"Her fingers stopped for the first time, as she retorted rather angrily, ""What have I told you? Do you still think, in spite of it, that I do not mean what I say?""","Mozart","Composers"
"Earth","United Kingdom",0.56,0.88,0.94,292,"""Besides,"" said Mr. Pumblechook, turning sharp on me, ""think what you've got to be grateful for. If you'd been born a Squeaker—""","Battleship","Games"
"Jupiter","Lao, People's Democratic Republic",0.68,0.03,0.65,326,"""What do you suppose,"" said Mr. Jaggers, bending forward to look at the ground, and then throwing his head back to look at the ceiling,—""what do you suppose you are living at the rate of?""","Chess","Games"
"Mars","Ireland",0.48,0.84,0.35,322,"He wiped himself again, as he had done before, and then slowly took his tangle of tobacco from his pocket, and plucked his pipe from his button-hole, and slowly filled it, and began to smoke.","Liszt","Composers"
"Pluto","South Sudan",0.98,0.94,0.19,274,"After I had pondered a little over this encouraging sentiment, I asked Mr. Jaggers if I could send for a coach? He said it was not worth while, I was so near my destination; Wemmick should walk round with me, if I pleased.","Mendelssohn","Composers"
"Venus","Bhutan",0.26,0.76,0.35,296,"""Hold your noise!"" cried a terrible voice, as a man started up from among the graves at the side of the church porch. ""Keep still, you little devil, or I'll cut your throat!""","Battleship","Games"
"Uranus","Germany",0.49,0.87,0.88,251,"""Biddy,"" I returned with some resentment, ""you are so exceedingly quick that it's difficult to keep up with you.""","Chess","Games"
"Earth","Faroe Islands",0.57,0.17,0.89,192,"""Dread him,"" said Wemmick. ""I believe you they dread him. Not but what he's artful, even in his defiance of them. No silver, sir. Britannia metal, every spoon.""","Handel","Composers"
"Earth","Liberia",0.59,0.19,0.64,321,"""You gave it to yourself; you gained it for yourself. I could have done you no harm, if you had done yourself none.""","Stratego","Games"
"Neptune","Poland",0.59,0.55,0.4,249,"""Well!"" Wemmick replied, ""I don't know her story,—that is, I don't know all of it. But what I do know I'll tell you. We are in our private and personal capacities, of course.""","Wagner","Composers"
"Pluto","Argentina",0.77,0.26,0.31,242,"""Hear me out,—but if I were to remove Joe into a higher sphere, as I shall hope to remove him when I fully come into my property, they would hardly do him justice.""","Ticket to Ride","Games"
"Venus","San Marino",0.31,0.46,0.54,277,"""Well!"" said I, ""we must talk together a little more, as we used to do. And I must consult you a little more, as I used to do. Let us have a quiet walk on the marshes next Sunday, Biddy, and a long chat.""","Yahtzee","Games"
"Earth","Cyprus",0.53,0.71,0.06,282,"""Yes, but look'ee here,"" he persisted. ""Dear boy, I ain't come so fur, not fur to be low. Now, go on, dear boy. You was a saying—""","Yahtzee","Games"
"Pluto","Tibet",0.51,0.12,0.4,170,"""Thankee, Sir,"" said Joe, stiff from head to foot, ""I'll take whichever is most agreeable to yourself.""","Trivial Pursuit","Games"
"Uranus","Niue",0.72,0.98,0.42,284,"""I know you do,"" said the stranger; ""I knew you would. I told you so. But now I'll ask you a question. Do you know, or do you not know, that the law of England supposes every man to be innocent, until he is proved-proved—to be guilty?""","Settlers of Catan","Games"
"Pluto","Virgin Islands (U.S.)",0.61,0.49,0.08,315,"If the villain had stopped here, his case would have been sufficiently awful, but he blackened his guilt by proceeding to take me into custody, with a right of patronage that left all his former criminality far behind.","Risk","Games"
"Mars","Thailand",0.85,0.3,0.51,324,"""You must know,"" said Estella, condescending to me as a brilliant and beautiful woman might, ""that I have no heart,—if that has anything to do with my memory.""","Wagner","Composers"
"Venus","New Caledonia",0.19,0.45,0.29,209,"""You do,"" said she. ""You have been crying till you are half blind, and you are near crying again now.""","Dominion","Games"
"Jupiter","Cape Verde",0.91,0.17,0.09,197,"""Tell him to take his witness away directly,"" said my guardian to the clerk, in extreme disgust, ""and ask him what he means by bringing such a fellow as that.""","Stravinsky","Composers"
"Neptune","Dominican Republic",0.46,0.46,0.57,241,"""Begging your pardon, ma'am,"" returned the housemaid, ""I should wish to speak at once, and to speak to master.""","Stratego","Games"
"Venus","Grenada",0.63,0.67,0.52,196,"""Well,"" I returned, glad for once to get the better of him in cross-examination, ""I do not know, for I have not made up my mind.""","Chess","Games"
"Neptune","Cocos (Keeling) Islands",0.27,0.99,0.53,171,"As we were going with our candle along the dark passage, Estella stopped all of a sudden, and, facing round, said in her taunting manner, with her face quite close to mine,—","Ticket to Ride","Games"
"Mars","Belgium",0.22,0.18,0.58,266,"""With pleasure,"" said he, ""though I venture to prophesy that you'll want very few hints. I dare say we shall be often together, and I should like to banish any needless restraint between us. Will you do me the favour to begin at once to call me by my Christian name, Herbert?""","Risk","Games"
"Jupiter","Ukraine",0.77,0.61,0.82,185,"The fact was, that when the five hundred pounds had come into my pocket, a thought had come into my head which had been often there before; and it appeared to me that Wemmick was a good person to advise with concerning such thought.","Stravinsky","Composers"
"Venus","Iran (Islamic Republic of)",0.2,0.54,0.99,226,"""And how are you?"" said Miss Havisham to Camilla. As we were close to Camilla then, I would have stopped as a matter of course, only Miss Havisham wouldn't stop. We swept on, and I felt that I was highly obnoxious to Camilla.","Settlers of Catan","Games"
"Earth","Western Sahara",0.3,0.84,0.87,268,"He produced a long purse, with the greatest coolness, and counted them out on the table and pushed them over to me. This was the first time he had taken his leg from the chair. He sat astride of the chair when he had pushed the money over, and sat swinging his purse and eyeing Joe.","Mozart","Composers"
"Jupiter","Rwanda",0.02,0.17,0.1,165,"""You are one of those, Biddy,"" said I, ""who make the most of every chance. You never had a chance before you came here, and see how improved you are!""","Yahtzee","Games"
"Jupiter","Myanmar, Burma",0.09,0.26,0.93,271,"""To think,"" said Mr. Pumblechook, after snorting admiration at me for some moments, ""that I should have been the humble instrument of leading up to this, is a proud reward.""","Monopoly","Games"
"Uranus","Singapore",0.41,0.03,0.57,343,"""Yes!"" said I. And although my sister instantly boxed my ears, it was highly gratifying to me to see that the answer spoilt his joke, and brought him to a dead stop.","JS Bach","Composers"
"Earth","Angola",0.44,0.04,0.13,257,"""Yes, Biddy,"" I observed, when I had done turning it over, ""you were my first teacher, and that at a time when we little thought of ever being together like this, in this kitchen.""","Liszt","Composers"
"Pluto","Jordan",0.89,0.85,1,296,"""Stop half a moment, Mr. Gargery,"" said the strange man. ""I think I've got a bright new shilling somewhere in my pocket, and if I have, the boy shall have it.""","Wagner","Composers"
"Mars","Portugal",0.67,0.54,0.27,246,"Perhaps they replied, or argued the point, or tried to encourage me to believe that I was better than I thought. Forasmuch as they hang in my memory by only this one slender thread, I don't know what they did, except that they forbore to remove me.","Liszt","Composers"
"Pluto","Comoros",0.43,0.92,0.25,329,"""Now, follow that passage with your eye, and tell me whether it distinctly states that the prisoner expressly said that he was instructed by his legal advisers wholly to reserve his defence? Come! Do you make that of it?""","Puerto Rico","Games"
"Neptune","Austria",0.38,0.97,0.45,236,"She said the word often enough, and there could be no doubt that she meant to say it; but if the often repeated word had been hate instead of love—despair—revenge—dire death—it could not have sounded from her lips more like a curse.","JS Bach","Composers"
"Saturn","Benin",0.13,0.59,0.13,208,"Wemmick was at his desk, lunching—and crunching—on a dry hard biscuit; pieces of which he threw from time to time into his slit of a mouth, as if he were posting them.","Wagner","Composers"
"Jupiter","Holy See",0.33,0.78,0.56,318,"He was stopped in his running on and in his shaking hands with me, by seeing Provis. Provis, regarding him with a fixed attention, was slowly putting up his jackknife, and groping in another pocket for something else.","Ticket to Ride","Games"
"Neptune","Bermuda",0.66,0.44,0.74,180,"He regarded me with a look of affection that made him almost abhorrent to me again, though I had felt great pity for him.","Ticket to Ride","Games"
"Venus","French Guiana",0.95,0.42,0.71,325,"""If you had waited another moment, Biddy, you would have heard me say that I shall bring my clothes here in a bundle one evening,—most likely on the evening before I go away.""","CLUE","Games"
"Jupiter","Cuba",0.66,0.08,0.3,272,"""Not, I grant you, but what his manners is given to blusterous,"" said Joe, apologetically; ""still, a Englishman's ouse is his Castle, and castles must not be busted 'cept when done in war time. And wotsume'er the failings on his part, he were a corn and seedsman in his hart.""","Chopin","Composers"
"Earth","Iceland",0.12,0.69,0.98,237,"Miss Havisham and I had never stopped all this time, but kept going round and round the room; now brushing against the skirts of the visitors, now giving them the whole length of the dismal chamber.","Settlers of Catan","Games"
"Neptune","Saint Kitts and Nevis",0.98,0.83,0.26,333,"The coffee-room at the Blue Boar was empty, and I had not only ordered my dinner there, but had sat down to it, before the waiter knew me. As soon as he had apologized for the remissness of his memory, he asked me if he should send Boots for Mr. Pumblechook?","Puerto Rico","Games"
"Uranus","Saint Lucia",0.86,0.69,0.11,272,"She uttered the word with an eager look, and with strong emphasis, and with a weird smile that had a kind of boast in it. Afterwards she kept her hands there for a little while, and slowly took them away as if they were heavy.","Apples to Apples","Games"
"Neptune","Indonesia",0.01,0.1,0.61,282,"At a change in his manner as if he were even going to embrace me, I laid a hand upon his breast and put him away.","Chess","Games"
"Pluto","American Samoa",0.46,0.31,0.81,265,"I could not help thinking that it might be harder if the butcher's time and attention were diverted from dear Mrs. Pocket; but I said nothing, and indeed had enough to do in keeping a bashful watch upon my company manners.","CLUE","Games"
"Neptune","Chile",0.61,0.82,0.3,275,"It began with the strange gentleman's sitting down at the table, drawing the candle to him, and looking over some entries in his pocket-book. He then put up the pocket-book and set the candle a little aside, after peering round it into the darkness at Joe and me, to ascertain which was which.","Stratego","Games"
"Neptune","Niger",0.52,0.62,0.53,289,"""I dare say you wonder at me, Mr. Pip; indeed, I see you do. But it is so very strange! You'll hardly believe what I am going to tell you. I could hardly believe it myself, if you told me.""","Brahms","Composers"
"Pluto","Ethiopia",0.06,0.84,0.78,266,"""This friend,"" I pursued, ""is trying to get on in commercial life, but has no money, and finds it difficult and disheartening to make a beginning. Now I want somehow to help him to a beginning.""","Dominion","Games"
"Neptune","Madagascar",0.14,0.36,0.22,193,"""We don't run much into clerks, because there's only one Jaggers, and people won't have him at second hand. There are only four of us. Would you like to see 'em? You are one of us, as I may say.""","Chess","Games"
"Saturn","Paraguay",0.61,0.06,0.45,337,"""Do you see him?"" pursued my convict. ""Do you see what a villain he is? Do you see those grovelling and wandering eyes? That's how he looked when we were tried together. He never looked at me.""","JS Bach","Composers"
"Neptune","Venezuela",0.65,0.38,0.53,214,"At these words, the face of him who supported me looked over into mine, and I saw my supporter to be—","Trivial Pursuit","Games"
"Mars","Egypt",0.88,0,0.79,215,"""Not a bit on it, dear boy! It comes of flowing on so quiet, and of that there rippling at the boat's head making a sort of a Sunday tune. Maybe I'm a growing a trifle old besides.""","Schumann","Composers"
"Venus","United States",0.65,0.17,0.05,242,"It was no laughing matter with Estella now, nor was she summoning these remembrances from any shallow place. I would not have been the cause of that look of hers for all my expectations in a heap.","Scrabble","Games"
"Uranus","Barbados",0.17,0.62,0.7,304,"As he had scarcely seen my three companions until now,—for he and I had walked together,—he stood on the hearth-rug, after ringing the bell, and took a searching look at them. To my surprise, he seemed at once to be principally if not solely interested in Drummle.","Chess","Games"
"Pluto","Sudan",0.65,1,0.34,285,"""So,"" said Estella, ""I must be taken as I have been made. The success is not mine, the failure is not mine, but the two together make me.""","Yahtzee","Games"
"Uranus","Martinique",0.87,0.4,0.76,200,"She managed our whole domestic life, and wonderfully too; but I did not mean that, though that made what I did mean more surprising.","Schubert","Composers"
"Jupiter","Wallis and Futuna Islands",0.89,0.87,0.09,332,"""Well, I don't know,"" returned Joe. ""I'm so awful dull. I'm only master of my own trade. It were always a pity as I was so awful dull; but it's no more of a pity now, than it was—this day twelvemonth—don't you see?""","Chess","Games"
"Pluto","Belarus",0.81,0.24,0.37,187,"""There is a certain tutor, of whom I have some knowledge, who I think might suit the purpose,"" said Mr. Jaggers. ""I don't recommend him, observe; because I never recommend anybody. The gentleman I speak of is one Mr. Matthew Pocket.""","Mozart","Composers"
"Pluto","Vatican City State (Holy See)",0.69,0.45,0.8,253,"""Young man, I am sorry to see you brought low. But what else could be expected! what else could be expected!""","Monopoly","Games"
"Neptune","Qatar",0.77,0.44,0.76,224,"""In heaven's name,"" said I, firing in spite of myself, ""what does it matter to you where I am going? Leave that teapot alone.""","Chess","Games"
"Neptune","Italy",0.5,0.11,0.73,256,"""One day is so like another here,"" he replied, ""that I don't know without casting it up. However, I come here some time since you left.""","Monopoly","Games"
"Jupiter","Samoa",0.61,0.52,0.38,328,"""Lord bless the boy!"" exclaimed my sister, as if she didn't quite mean that but rather the contrary. ""From the Hulks!""","CLUE","Games"
"Saturn","Turkey",0.92,0.59,0,272,"Again my mind, with its former inconceivable rapidity, had exhausted the whole subject of the attack upon my sister, her illness, and her death, before his slow and hesitating speech had formed these words.","Haydn","Composers"
"Saturn","Russian Federation",0.07,0.66,0.04,183,"""You can say what you like,"" returned the sergeant, standing coolly looking at him with his arms folded, ""but you have no call to say it here. You'll have opportunity enough to say about it, and hear about it, before it's done with, you know.""","Battleship","Games"
"Jupiter","Fiji",0.25,0.55,0.3,251,"""Mind!"" said my convict, wiping blood from his face with his ragged sleeves, and shaking torn hair from his fingers: ""I took him! I give him up to you! Mind that!""","Haydn","Composers"
"Neptune","Czech Republic",0.24,0.18,0.01,179,"""Who am I,"" cried Miss Havisham, striking her stick upon the floor and flashing into wrath so suddenly that Estella glanced up at her in surprise,—""who am I, for God's sake, that I should be kind?""","Trivial Pursuit","Games"
"Uranus","Hungary",0.1,0.41,0.3,272,"Curious to know whether Biddy suspected him of having had a hand in that murderous attack of which my sister had never been able to give any account, I asked her why she did not like him.","Wagner","Composers"
